"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"Nemirovsky__Ricardo",9,"","","","","","","","","","","","","","","","","","","","","","","","case.study","",""
"O.Brien__Kate",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Papendieck__Adam",9,"","","","","","","","","","","","","","","","","","","","","","","","mixed.method","learning.science","case.study"
"Radke__Sarah_C",9,"","","","","","","","","","","","","","","","","","","","","","","","case.study","",""
"Vo__Tina",9,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","learning.environment",""
"Wisittanawat__Panchompoo",9,"","","","","","","","","","","","","","","","","","","","","","","","designed.support","student.engaged",""
"Adair__Amy",9,"","","","","","","","","","","","","","","","","","","","","","","","","next.generation","intelligent.tutoring"
"Baggaley__Stuart",9,"","","","","","","","","","","","","","","","","","","","","","","","","collaborative.process","science.learning"
"Carlson__Janet",9,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.learning",""
"Coburn__Cynthia",9,"","","","","","","","","","","","","","","","","","","","","","","","","case.study",""
"Della_Volpe__Daniela",9,"","","","","","","","","","","","","","","","","","","","","","","","","learning.science",""
"Elagha__Noor",9,"","","","","","","","","","","","","","","","","","","","","","","","","computational.thinking",""
"Erete__Sheena",9,"","","","","","","","","","","","","","","","","","","","","","","","","informal.learning","middle.school"
"Fong__Alissa",9,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.learning",""
"Friedkin__Shelley",9,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.learning",""
"Garcia__Nicole",9,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.learning",""
"Gee__Elisabeth",9,"","","","","","","","","","","","","","","","","","","","","","","","","learning.environment","design.approach"
"Jenkins__Jennifer",9,"","","","","","","","","","","","","","","","","","","","","","","","","collaborative.process","science.learning"
"Jones.Bey__Noor",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Levandov__Jessie",9,"","","","","","","","","","","","","","","","","","","","","","","","","research.practice",""
"Lewis__Catherine",9,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.learning",""
"Liu__Ruohan",9,"","","","","","","","","","","","","","","","","","","","","","","","","computational.thinking",""
"Luo__Feiya",9,"","","","","","","","","","","","","","","","","","","","","","","","","computational.thinking",""
"Malone__Hui.Ling",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rich__Kathryn",9,"","","","","","","","","","","","","","","","","","","","","","","","","computational.thinking",""
"Shaughnessy__Meghan",9,"","","","","","","","","","","","","","","","","","","","","","","","","teacher.learning",""
"Strickland__Carla",9,"","","","","","","","","","","","","","","","","","","","","","","","","computational.thinking",""
"Tehee__Melissa",9,"","","","","","","","","","","","","","","","","","","","","","","","","collaborative.process","science.learning"
"Velamur__Arundhati",9,"","","","","","","","","","","","","","","","","","","","","","","","","learning.science",""
"Yan__Wei",9,"","","","","","","","","","","","","","","","","","","","","","","","","computational.thinking",""
"Yankova__Nickolina",9,"","","","","","","","","","","","","","","","","","","","","","","","","learning.science","collaborative.learning"
"Zheng__Yipu",9,"","","","","","","","","","","","","","","","","","","","","","","","","science.learning","learning.science"
"Burgas__Kim",9,"","","","","","","","","","","","","","","","","","","","","","","","","","high.school"
"Cekaite__Asta",9,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Chaloner__Kim",9,"","","","","","","","","","","","","","","","","","","","","","","","","","high.school"
"de_León__Lourdes",9,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Dikker__Suzanne",9,"","","","","","","","","","","","","","","","","","","","","","","","","","high.school"
"Easley__Kathleen",9,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Goodwin__Marjorie_Harness",9,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.experience"
"Higgs__Karyn",9,"","","","","","","","","","","","","","","","","","","","","","","","","","learning.science"
"Hutchins__Nicole_M.",9,"","","","","","","","","","","","","","","","","","","","","","","","","","case.study"
"Kim__Doy",9,"","","","","","","","","","","","","","","","","","","","","","","","","","high.school"
"Martin__Rebecca",9,"","","","","","","","","","","","","","","","","","","","","","","","","","high.school"
"McGee.Tekula__Randi",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ndubuisi__Anuli",9,"","","","","","","","","","","","","","","","","","","","","","","","","","knowledge.building"
"Sadhukha__Sushmita",9,"","","","","","","","","","","","","","","","","","","","","","","","","","high.school"
"Shevchenko__Yury",9,"","","","","","","","","","","","","","","","","","","","","","","","","","high.school"
"Bransford__John_D.",8,"","problem.solving","","","","","","","","","","","","","","","","","case.study","","","","","","",""
"HÄuuml.bscher__Roland",8,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nagel__Kris",8,"","collaborative.learning","","","","","","","","","","","","","","","","","","","","","","","",""
"Brett__Clare",8,"","","preservice.teacher","","","","","","learning.environment","online.course","","","","","","","","","collaborative.learning","","","","","qualitative.study","",""
"Wasson__Barbara",8,"","","learning.activity","learning.environment","collaborative.learning","learning.environment","","","learning.experience","","group.student","","","","","","","","","","","","","","",""
"Caspar__Franz",8,"","","","learning.environment","collaborative.process","","","","","","","","","","","","","","","","","","","","",""
"Gottdenker__Joshua_S.",8,"","","","learning.community","","","","","","","","","","","","","","","","","","","","","",""
"Musser__Dale_R.",8,"","","","learning.community","","","","","","","","","","","","","","","","","","","","","",""
"Schornstein__Katrin",8,"","","","learning.environment","collaborative.process","","","","","","","","","","","","","","","","","","","","",""
"Mørch__Anders_I.",8,"","","","","knowledge.building","","","","","","","","","","","","","","","","","","","","","student.teacher"
"Fitzpatrick__Geraldine",8,"","","","","","design.process","","","","","","","","","","","","","","","","","","","",""
"Fujitani__Satoru",8,"","","","","","learning.activity","","","","","","","","","","","","","","","","","","","",""
"Hisamatsu__Shin.ichi",8,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kirk__Dave",8,"","","","","","design.process","","","","","","","","","","","","","","","","","","","",""
"Nagata__Tomoko",8,"","","","","","learning.activity","","","","","","","","","","","","","","","","","","","",""
"Paxton__Mark",8,"","","","","","design.process","","","","","","","","","","","","","","","","","","","",""
"Rowland__Duncan",8,"","","","","","design.process","","","","","","","","","","","","","","","","","","","",""
"Suzuki__Mariko",8,"","","","","","learning.activity","","","","","","","","","","","","","","","","","","","",""
"Aro__Katariina_Salmela.",8,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brecha__John",8,"","","","","","","collaborative.learning","","","","","","","","","","","","","","","","","","",""
"Chaudhury__Raj",8,"","","","","","","collaborative.learning","","","","","","","","","","","","","","","","","","",""
"Corliss__Stephanie",8,"","","","","","","case.study","learning.science","","","","","","","","","","","learning.science","","","","","","",""
"Heikkil__Annamari",8,"","","","","","","pilot.study","","","","","","","","","","","","","","","","","","",""
"Kinzer__Charles",8,"","","","","","","understanding.learning","","","","","","","","","","","group.member","","","","","","","",""
"Linnanen__Juha",8,"","","","","","","pilot.study","","","","","","","","","","","","","","","","","","",""
"Lonka__Kristi",8,"","","","","","","pilot.study","","","","","","","","","","","","","","","","","","",""
"Lund__Andreas",8,"","","","","","","classroom.practice","","","","","","","","","","","","learning.environment","","","","","","",""
"Maier__Anne",8,"","","","","","","learning.environment","","","","","","","","","","","","","","","","","","",""
"Marcos__Jose_Antonio",8,"","","","","","","learning.environment","","","","","","","","","","","","","","","","","","",""
"Martinez.Mones__Alejandra",8,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Patton__and_Charles",8,"","","","","","","collaborative.learning","","","","","","","","","","","","","","","","","","",""
"Salo__and_Kari",8,"","","","","","","pilot.study","","","","","","","","","","","","","","","","","","",""
"Seki__Takao",8,"","","","","","","group.discussion","","","","","","","","","","","","","","","","","","",""
"Tachibana__Sanae",8,"","","","","","","group.discussion","","","","","","","","","","","","","","","","","","",""
"Takeuchi__Yuichiro",8,"","","","","","","group.discussion","","","","","","","","","","","","","","","","","","",""
"Yamamoto__and_Tomokazu",8,"","","","","","","group.discussion","","","","","","","","","","","","","","","","","","",""
"Anjewierden__Anjo",8,"","","","","","","","learning.environment","","","","","","","","","","","coding.scheme","","","","prior.knowledge","","",""
"Heo__Gyeong_Mi",8,"","","","","","","","learning.process","learning.environment","","","","","","","","","","","","","","","learning.environment","",""
"Liu__Chen.Chung",8,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yuill__Nicola",8,"","","","","","","","collaborative.learning","","","","","learning.opportunity","","","","","","","","","","","","",""
"Blancafort__Marta",8,"","","","","","","","","learning.environment","","","","","","","","","","","","","","","","",""
"Boluda__Pere",8,"","","","","","","","","learning.environment","","","","","","","","","","","","","","","","",""
"Boutin__Pier.Ann",8,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dunleavy__Matt",8,"","","","","","","","","learning.environment","","","","","","","","","","","","","","","","",""
"Hsiao__Ying.Ting",8,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jing__Leng",8,"","","","","","","","","learning.environment","","","","","","","","","","","","","","","","",""
"Larusson__Johann",8,"","","","","","","","","environment.student","","","","","","","","","","learning.environment","learning.environment","","","","","",""
"Laurillard__Diana",8,"","","","","","","","","collaborative.learning","","","","","","learning.environment","","","","","","","","","","",""
"Lopez__Oscar_Hernandez",8,"","","","","","","","","learning.environment","","","","","","","","","","","","","","","","",""
"Mathews__Jim",8,"","","","","","","","","learning.environment","","","","","","","","","","","","","","","","",""
"Mullins__Dejana",8,"","","","","","","","","collaborative.interaction","","","","","","","","","","","","","","","","",""
"Raj__Bhiksha",8,"","","","","","","","","collaborative.learning","","","","","","","","","","","","collaborative.learning","","","","",""
"Smith__Garrett",8,"","","","","","","","","learning.environment","","","","","","","","","","","student.learning","","","","","",""
"Wong_",8,"","","","","","","","","learning.environment","","","","","","","","","","","","","","","","",""
